nid,day,rid,status,times,Mon,Tue,Wed,Thu,Fri,Sat,Sun,times
1,1,3,0,0,0,1,0,0,0,0,0,0
2,1,3,0,0.0213,0,1,0,0,0,0,0,2.13
3,1,3,0,0.0426,0,1,0,0,0,0,0,4.26
4,1,3,0,0.0638,0,1,0,0,0,0,0,6.38
5,1,3,0,0.0851,0,1,0,0,0,0,0,8.51
6,1,3,0,0.1064,0,1,0,0,0,0,0,10.64
7,1,3,0,0.1277,0,1,0,0,0,0,0,12.77
8,1,3,0,0.1489,0,1,0,0,0,0,0,14.89
9,1,3,0,0.1702,0,1,0,0,0,0,0,17.02
10,1,3,0,0.1915,0,1,0,0,0,0,0,19.15
11,1,3,0,0.2128,0,1,0,0,0,0,0,21.28
12,1,3,0,0.234,0,1,0,0,0,0,0,23.4
13,1,3,0,0.2553,0,1,0,0,0,0,0,25.53
14,1,3,0,0.2766,0,1,0,0,0,0,0,27.66
15,1,3,1,0.2979,0,1,0,0,0,0,0,29.79
16,1,3,2,0.3191,0,1,0,0,0,0,0,31.91
17,1,3,2,0.3404,0,1,0,0,0,0,0,34.04
18,1,3,2,0.3617,0,1,0,0,0,0,0,36.17
19,1,3,1,0.383,0,1,0,0,0,0,0,38.3
20,1,3,1,0.4043,0,1,0,0,0,0,0,40.43
21,1,3,1,0.4255,0,1,0,0,0,0,0,42.55
22,1,3,1,0.4468,0,1,0,0,0,0,0,44.68
23,1,3,1,0.4681,0,1,0,0,0,0,0,46.81
24,1,3,0,0.4894,0,1,0,0,0,0,0,48.94
25,1,3,0,0.5106,0,1,0,0,0,0,0,51.06
26,1,3,0,0.5319,0,1,0,0,0,0,0,53.19
27,1,3,1,0.5532,0,1,0,0,0,0,0,55.32
28,1,3,1,0.5745,0,1,0,0,0,0,0,57.45
29,1,3,1,0.5957,0,1,0,0,0,0,0,59.57
30,1,3,2,0.617,0,1,0,0,0,0,0,61.7
31,1,3,2,0.6383,0,1,0,0,0,0,0,63.83
32,1,3,2,0.6596,0,1,0,0,0,0,0,65.96
33,1,3,2,0.6809,0,1,0,0,0,0,0,68.09
34,1,3,2,0.7021,0,1,0,0,0,0,0,70.21
35,1,3,2,0.7234,0,1,0,0,0,0,0,72.34
36,1,3,2,0.7447,0,1,0,0,0,0,0,74.47
37,1,3,2,0.766,0,1,0,0,0,0,0,76.6
38,1,3,2,0.7872,0,1,0,0,0,0,0,78.72
39,1,3,1,0.8085,0,1,0,0,0,0,0,80.85
40,1,3,1,0.8298,0,1,0,0,0,0,0,82.98
41,1,3,1,0.8511,0,1,0,0,0,0,0,85.11
42,1,3,0,0.8723,0,1,0,0,0,0,0,87.23
43,1,3,0,0.8936,0,1,0,0,0,0,0,89.36
44,1,3,0,0.9149,0,1,0,0,0,0,0,91.49
45,1,3,0,0.9362,0,1,0,0,0,0,0,93.62
46,1,3,0,0.9574,0,1,0,0,0,0,0,95.74
47,1,3,0,0.9787,0,1,0,0,0,0,0,97.87
48,1,3,0,1,0,1,0,0,0,0,0,100
49,2,3,0,0,0,0,1,0,0,0,0,0
50,2,3,0,0.0213,0,0,1,0,0,0,0,2.13
51,2,3,0,0.0426,0,0,1,0,0,0,0,4.26
52,2,3,0,0.0638,0,0,1,0,0,0,0,6.38
53,2,3,0,0.0851,0,0,1,0,0,0,0,8.51
54,2,3,0,0.1064,0,0,1,0,0,0,0,10.64
55,2,3,0,0.1277,0,0,1,0,0,0,0,12.77
56,2,3,0,0.1489,0,0,1,0,0,0,0,14.89
57,2,3,0,0.1702,0,0,1,0,0,0,0,17.02
58,2,3,0,0.1915,0,0,1,0,0,0,0,19.15
59,2,3,0,0.2128,0,0,1,0,0,0,0,21.28
60,2,3,0,0.234,0,0,1,0,0,0,0,23.4
61,2,3,0,0.2553,0,0,1,0,0,0,0,25.53
62,2,3,0,0.2766,0,0,1,0,0,0,0,27.66
63,2,3,1,0.2979,0,0,1,0,0,0,0,29.79
64,2,3,2,0.3191,0,0,1,0,0,0,0,31.91
65,2,3,2,0.3404,0,0,1,0,0,0,0,34.04
66,2,3,2,0.3617,0,0,1,0,0,0,0,36.17
67,2,3,2,0.383,0,0,1,0,0,0,0,38.3
68,2,3,2,0.4043,0,0,1,0,0,0,0,40.43
69,2,3,2,0.4255,0,0,1,0,0,0,0,42.55
70,2,3,1,0.4468,0,0,1,0,0,0,0,44.68
71,2,3,1,0.4681,0,0,1,0,0,0,0,46.81
72,2,3,1,0.4894,0,0,1,0,0,0,0,48.94
73,2,3,0,0.5106,0,0,1,0,0,0,0,51.06
74,2,3,0,0.5319,0,0,1,0,0,0,0,53.19
75,2,3,0,0.5532,0,0,1,0,0,0,0,55.32
76,2,3,1,0.5745,0,0,1,0,0,0,0,57.45
77,2,3,1,0.5957,0,0,1,0,0,0,0,59.57
78,2,3,2,0.617,0,0,1,0,0,0,0,61.7
79,2,3,2,0.6383,0,0,1,0,0,0,0,63.83
80,2,3,1,0.6596,0,0,1,0,0,0,0,65.96
81,2,3,1,0.6809,0,0,1,0,0,0,0,68.09
82,2,3,1,0.7021,0,0,1,0,0,0,0,70.21
83,2,3,1,0.7234,0,0,1,0,0,0,0,72.34
84,2,3,2,0.7447,0,0,1,0,0,0,0,74.47
85,2,3,1,0.766,0,0,1,0,0,0,0,76.6
86,2,3,1,0.7872,0,0,1,0,0,0,0,78.72
87,2,3,1,0.8085,0,0,1,0,0,0,0,80.85
88,2,3,1,0.8298,0,0,1,0,0,0,0,82.98
89,2,3,1,0.8511,0,0,1,0,0,0,0,85.11
90,2,3,0,0.8723,0,0,1,0,0,0,0,87.23
91,2,3,0,0.8936,0,0,1,0,0,0,0,89.36
92,2,3,0,0.9149,0,0,1,0,0,0,0,91.49
93,2,3,0,0.9362,0,0,1,0,0,0,0,93.62
94,2,3,0,0.9574,0,0,1,0,0,0,0,95.74
95,2,3,0,0.9787,0,0,1,0,0,0,0,97.87
96,2,3,0,1,0,0,1,0,0,0,0,100
97,3,3,0,0,0,0,0,1,0,0,0,0
98,3,3,0,0.0213,0,0,0,1,0,0,0,2.13
99,3,3,0,0.0426,0,0,0,1,0,0,0,4.26
100,3,3,0,0.0638,0,0,0,1,0,0,0,6.38
101,3,3,0,0.0851,0,0,0,1,0,0,0,8.51
102,3,3,0,0.1064,0,0,0,1,0,0,0,10.64
103,3,3,0,0.1277,0,0,0,1,0,0,0,12.77
104,3,3,0,0.1489,0,0,0,1,0,0,0,14.89
105,3,3,0,0.1702,0,0,0,1,0,0,0,17.02
106,3,3,0,0.1915,0,0,0,1,0,0,0,19.15
107,3,3,0,0.2128,0,0,0,1,0,0,0,21.28
108,3,3,0,0.234,0,0,0,1,0,0,0,23.4
109,3,3,0,0.2553,0,0,0,1,0,0,0,25.53
110,3,3,0,0.2766,0,0,0,1,0,0,0,27.66
111,3,3,1,0.2979,0,0,0,1,0,0,0,29.79
112,3,3,2,0.3191,0,0,0,1,0,0,0,31.91
113,3,3,2,0.3404,0,0,0,1,0,0,0,34.04
114,3,3,2,0.3617,0,0,0,1,0,0,0,36.17
115,3,3,1,0.383,0,0,0,1,0,0,0,38.3
116,3,3,1,0.4043,0,0,0,1,0,0,0,40.43
117,3,3,1,0.4255,0,0,0,1,0,0,0,42.55
118,3,3,1,0.4468,0,0,0,1,0,0,0,44.68
119,3,3,1,0.4681,0,0,0,1,0,0,0,46.81
120,3,3,0,0.4894,0,0,0,1,0,0,0,48.94
121,3,3,0,0.5106,0,0,0,1,0,0,0,51.06
122,3,3,0,0.5319,0,0,0,1,0,0,0,53.19
123,3,3,0,0.5532,0,0,0,1,0,0,0,55.32
124,3,3,1,0.5745,0,0,0,1,0,0,0,57.45
125,3,3,1,0.5957,0,0,0,1,0,0,0,59.57
